symbol,setup_type,d_minus_2,signal_day,trade_day,d2_open,d2_close,d1_open,d1_close,d1_body_abs,d1_range,bars_trade_day
5m_data,FGD,2017-06-27,2017-06-28,2017-06-29,5774.4,5671.9,5665.5,5765.7,100.19999999999982,135.79999999999927,273
5m_data,FRD,2017-06-28,2017-06-29,2017-06-30,5665.5,5765.7,5760.4,5648.9,111.5,173.39999999999964,273
5m_data,FGD,2017-06-29,2017-06-30,2017-07-03,5760.4,5648.9,5641.5,5654.1,12.600000000000364,63.099999999999454,231
5m_data,FRD,2017-06-30,2017-07-03,2017-07-04,5641.5,5654.1,5652.2,5587.9,64.30000000000018,109.09999999999945,228
5m_data,FGD,2017-07-04,2017-07-05,2017-07-06,5588.7,5580.2,5569.2,5649.5,80.30000000000018,100.10000000000036,273
5m_data,FRD,2017-07-05,2017-07-06,2017-07-07,5569.2,5649.5,5648.2,5595.7,52.5,71.0,273
5m_data,FGD,2017-07-06,2017-07-07,2017-07-10,5648.2,5595.7,5597.3,5654.7,57.399999999999636,84.89999999999964,273
5m_data,FRD,2017-07-20,2017-07-21,2017-07-24,5918.1,5931.6,5930.7,5923.4,7.300000000000182,39.69999999999982,273
5m_data,FGD,2017-07-21,2017-07-24,2017-07-25,5930.7,5923.4,5921.1,5927.1,6.0,49.400000000000546,273
5m_data,FRD,2017-07-26,2017-07-27,2017-07-28,5934.5,5955.0,5962.6,5906.7,55.900000000000546,150.59999999999945,268
5m_data,FGD,2017-07-27,2017-07-28,2017-07-31,5962.6,5906.7,5907.6,5915.6,8.0,67.69999999999982,273
5m_data,FRD,2017-07-28,2017-07-31,2017-08-01,5907.6,5915.6,5908.3,5886.9,21.400000000000546,62.599999999999454,273
5m_data,FGD,2017-07-31,2017-08-01,2017-08-02,5908.3,5886.9,5885.5,5933.5,48.0,55.80000000000018,273
5m_data,FRD,2017-08-01,2017-08-02,2017-08-03,5885.5,5933.5,5936.2,5918.2,18.0,91.0,273
5m_data,FGD,2017-08-03,2017-08-04,2017-08-07,5914.6,5891.6,5891.8,5900.0,8.199999999999818,37.69999999999982,273
5m_data,FRD,2017-08-07,2017-08-08,2017-08-09,5903.4,5940.4,5937.3,5917.3,20.0,64.80000000000018,273
5m_data,FGD,2017-08-08,2017-08-09,2017-08-10,5937.3,5917.3,5912.3,5926.9,14.599999999999454,62.5,273
5m_data,FRD,2017-08-09,2017-08-10,2017-08-11,5912.3,5926.9,5920.2,5772.1,148.09999999999945,154.80000000000018,273
5m_data,FGD,2017-08-10,2017-08-11,2017-08-14,5920.2,5772.1,5767.1,5838.6,71.5,84.5,273
5m_data,FRD,2017-08-16,2017-08-17,2017-08-18,5912.0,5919.1,5915.1,5792.0,123.10000000000036,137.0,273
5m_data,FGD,2017-08-17,2017-08-18,2017-08-21,5915.1,5792.0,5790.8,5795.8,5.0,62.400000000000546,273
5m_data,FRD,2017-08-18,2017-08-21,2017-08-22,5790.8,5795.8,5808.0,5795.6,12.399999999999636,63.600000000000364,273
5m_data,FGD,2017-08-21,2017-08-22,2017-08-23,5808.0,5795.6,5792.7,5879.5,86.80000000000018,89.80000000000018,273
5m_data,FRD,2017-08-22,2017-08-23,2017-08-24,5792.7,5879.5,5874.6,5843.1,31.5,42.0,273
5m_data,FGD,2017-08-23,2017-08-24,2017-08-25,5874.6,5843.1,5842.1,5845.5,3.399999999999636,70.5,273
5m_data,FRD,2017-08-24,2017-08-25,2017-08-28,5842.1,5845.5,5843.8,5824.6,19.199999999999818,56.899999999999636,273
5m_data,FGD,2017-08-25,2017-08-28,2017-08-29,5843.8,5824.6,5805.9,5845.6,39.70000000000073,54.0,273
5m_data,FRD,2017-08-31,2017-09-01,2017-09-04,5931.1,5995.1,5991.8,5986.9,4.900000000000546,46.29999999999927,228
5m_data,FGD,2017-09-01,2017-09-04,2017-09-05,5991.8,5986.9,5955.7,5979.6,23.900000000000546,35.5,273
5m_data,FRD,2017-09-04,2017-09-05,2017-09-06,5955.7,5979.6,5974.4,5942.8,31.599999999999454,95.0,273
5m_data,FGD,2017-09-05,2017-09-06,2017-09-07,5974.4,5942.8,5939.8,5954.0,14.199999999999818,56.399999999999636,273
5m_data,FRD,2017-09-07,2017-09-08,2017-09-11,5946.4,5971.6,5969.1,5919.7,49.400000000000546,63.70000000000073,238
5m_data,FGD,2017-09-08,2017-09-11,2017-09-12,5969.1,5919.7,5941.9,5987.2,45.30000000000018,57.0,273
5m_data,FRD,2017-09-13,2017-09-14,2017-09-15,6000.6,6005.6,6002.1,5967.3,34.80000000000018,39.399999999999636,273
5m_data,FGD,2017-09-14,2017-09-15,2017-09-18,6002.1,5967.3,5967.1,5994.4,27.299999999999272,66.5,273
5m_data,FRD,2017-09-15,2017-09-18,2017-09-19,5967.1,5994.4,5995.2,5984.7,10.5,50.5,273
5m_data,FGD,2017-09-18,2017-09-19,2017-09-20,5995.2,5984.7,5985.3,5990.2,4.899999999999636,29.599999999999454,273
5m_data,FRD,2017-09-19,2017-09-20,2017-09-21,5985.3,5990.2,5990.0,5973.8,16.199999999999818,69.69999999999982,273
5m_data,FGD,2017-09-25,2017-09-26,2017-09-27,5936.9,5877.2,5877.0,5889.4,12.399999999999636,49.80000000000018,273
5m_data,FRD,2017-10-11,2017-10-12,2017-10-13,6063.2,6082.6,6081.7,6073.8,7.899999999999636,30.5,273
5m_data,FGD,2017-10-12,2017-10-13,2017-10-16,6081.7,6073.8,6071.4,6099.7,28.300000000000182,35.5,273
5m_data,FRD,2017-10-17,2017-10-18,2017-10-19,6120.1,6122.9,6123.3,6120.6,2.699999999999818,24.5,273
5m_data,FGD,2017-10-19,2017-10-20,2017-10-23,6121.9,6100.0,6098.2,6110.8,12.600000000000364,39.0,273
5m_data,FRD,2017-10-20,2017-10-23,2017-10-24,6098.2,6110.8,6111.2,6068.2,43.0,63.19999999999982,273
5m_data,FGD,2017-10-23,2017-10-24,2017-10-25,6111.2,6068.2,6066.3,6076.2,9.899999999999636,35.19999999999982,273
5m_data,FRD,2017-10-24,2017-10-25,2017-10-26,6066.3,6076.2,6076.2,6068.9,7.300000000000182,76.0,273
5m_data,FGD,2017-10-25,2017-10-26,2017-10-27,6076.2,6068.9,6066.8,6091.3,24.5,61.0,273
5m_data,FRD,2017-10-31,2017-11-01,2017-11-02,6223.6,6254.1,6254.5,6238.1,16.399999999999636,60.69999999999982,261
5m_data,FGD,2017-11-01,2017-11-02,2017-11-03,6254.5,6238.1,6234.1,6262.4,28.299999999999272,69.59999999999945,261
5m_data,FRD,2017-11-08,2017-11-09,2017-11-10,6312.5,6347.2,6344.9,6312.1,32.79999999999927,106.39999999999964,262
5m_data,FGD,2017-11-10,2017-11-13,2017-11-14,6315.8,6309.1,6312.7,6317.2,4.5,42.30000000000018,261
5m_data,FRD,2017-11-13,2017-11-14,2017-11-15,6312.7,6317.2,6311.3,6295.3,16.0,55.30000000000018,261
5m_data,FGD,2017-11-15,2017-11-16,2017-11-17,6291.0,6260.5,6260.3,6340.5,80.19999999999982,97.69999999999982,261
5m_data,FRD,2017-11-16,2017-11-17,2017-11-20,6260.3,6340.5,6338.4,6315.0,23.399999999999636,38.5,261
5m_data,FGD,2017-11-17,2017-11-20,2017-11-21,6338.4,6315.0,6308.3,6310.9,2.5999999999994543,37.5,261
5m_data,FRD,2017-11-22,2017-11-23,2017-11-24,6375.2,6386.2,6383.6,6382.1,1.5,22.0,231
5m_data,FGD,2017-11-23,2017-11-24,2017-11-27,6383.6,6382.1,6380.3,6411.6,31.300000000000182,36.0,261
5m_data,FRD,2017-11-24,2017-11-27,2017-11-28,6380.3,6411.6,6408.9,6407.2,1.699999999999818,29.699999999999818,261
5m_data,FGD,2017-11-27,2017-11-28,2017-11-29,6408.9,6407.2,6408.6,6423.6,15.0,38.600000000000364,261
5m_data,FRD,2017-11-28,2017-11-29,2017-11-30,6408.6,6423.6,6419.4,6312.8,106.59999999999945,144.69999999999982,261
5m_data,FGD,2017-11-29,2017-11-30,2017-12-01,6419.4,6312.8,6304.7,6364.9,60.19999999999982,88.20000000000073,261
5m_data,FRD,2017-11-30,2017-12-01,2017-12-04,6304.7,6364.9,6352.4,6338.1,14.299999999999272,122.5,261
5m_data,FGD,2017-12-04,2017-12-05,2017-12-06,6388.3,6263.9,6258.5,6266.9,8.399999999999636,108.0,261
5m_data,FRD,2017-12-11,2017-12-12,2017-12-13,6345.5,6398.8,6408.3,6391.2,17.100000000000364,35.5,261
5m_data,FGD,2017-12-12,2017-12-13,2017-12-14,6408.3,6391.2,6386.9,6402.5,15.600000000000364,54.5,261
5m_data,FRD,2017-12-13,2017-12-14,2017-12-15,6386.9,6402.5,6401.1,6395.6,5.5,39.69999999999982,261
5m_data,FGD,2017-12-14,2017-12-15,2017-12-18,6401.1,6395.6,6390.8,6468.3,77.5,89.0,261
5m_data,FRD,2017-12-18,2017-12-19,2017-12-20,6481.1,6521.1,6520.6,6484.7,35.900000000000546,65.5,261
5m_data,FGD,2017-12-20,2017-12-21,2017-12-22,6489.2,6478.0,6474.1,6485.2,11.099999999999454,48.69999999999982,261
5m_data,FRD,2017-12-22,2017-12-27,2017-12-28,6478.3,6483.1,6454.2,6443.8,10.399999999999636,33.19999999999982,261
5m_data,FGD,2017-12-29,2018-01-02,2018-01-03,6437.2,6404.0,6416.5,6516.7,100.19999999999982,125.5,261
5m_data,FRD,2018-01-09,2018-01-10,2018-01-11,6682.2,6685.8,6674.3,6669.7,4.600000000000364,58.600000000000364,261
5m_data,FGD,2018-01-10,2018-01-11,2018-01-12,6674.3,6669.7,6671.7,6714.3,42.600000000000364,52.80000000000018,261
5m_data,FRD,2018-01-12,2018-01-15,2018-01-16,6719.1,6763.6,6780.6,6778.9,1.7000000000007276,25.0,261
5m_data,FGD,2018-01-16,2018-01-17,2018-01-18,6777.1,6746.9,6759.8,6822.0,62.19999999999982,89.69999999999982,261
5m_data,FRD,2018-01-23,2018-01-24,2018-01-25,6928.8,6975.0,6956.3,6930.4,25.900000000000546,115.5,262
5m_data,FGD,2018-01-25,2018-01-26,2018-01-29,6934.6,6925.9,6939.6,7030.9,91.29999999999927,95.0,261
5m_data,FRD,2018-01-26,2018-01-29,2018-01-30,6939.6,7030.9,7033.2,6998.6,34.599999999999454,66.30000000000018,262
5m_data,FGD,2018-01-30,2018-01-31,2018-02-01,6999.9,6945.9,6944.8,6967.1,22.300000000000182,68.5,261
5m_data,FRD,2018-01-31,2018-02-01,2018-02-02,6944.8,6967.1,6979.9,6912.9,67.0,103.0,261
5m_data,FGD,2018-02-05,2018-02-06,2018-02-07,6759.9,6500.4,6476.9,6671.8,194.90000000000055,415.7999999999993,261
5m_data,FRD,2018-02-06,2018-02-07,2018-02-08,6476.9,6671.8,6646.1,6586.6,59.5,152.30000000000018,261
5m_data,FGD,2018-02-08,2018-02-09,2018-02-12,6546.4,6308.0,6330.1,6412.6,82.5,290.7999999999993,261
5m_data,FRD,2018-02-15,2018-02-16,2018-02-19,6679.4,6802.4,6816.1,6776.2,39.900000000000546,97.19999999999982,228
5m_data,FGD,2018-02-19,2018-02-20,2018-02-21,6783.3,6781.2,6783.1,6785.9,2.7999999999992724,120.30000000000018,261
